Sender,Receiver,Subject,Date,Email_Body_Length,Has_Attachments
marketing@brand.com,admin@portal.com,Salary Slip,2025-10-02 21:41:00,260,Yes
diana@org.org,admin@portal.com,Weekly Newsletter,2025-10-14 08:07:00,227,No
marketing@brand.com,manager@company.com,Invoice Attached,2025-10-03 14:36:00,685,Yes
professor@univ.edu,student@univ.edu,Weekly Newsletter,2025-10-09 17:31:00,651,No
diana@org.org,employee@company.com,Exclusive Offer Inside,2025-10-13 19:34:00,555,Yes
info@news.com,staff@org.org,Assignment Submission,2025-10-03 07:05:00,267,No
marketing@brand.com,user@yahoo.com,Salary Slip,2025-10-11 04:50:00,992,Yes
support@shop.com,team@company.com,Exclusive Offer Inside,2025-10-27 06:25:00,755,Yes
charlie@company.com,client@gmail.com,Assignment Submission,2025-10-23 03:43:00,496,Yes
student@univ.edu,manager@company.com,Assignment Submission,2025-10-03 21:10:00,918,No
professor@univ.edu,client@gmail.com,Project Update,2025-10-25 00:32:00,713,Yes
marketing@brand.com,client@gmail.com,Salary Slip,2025-10-28 22:20:00,721,No
charlie@company.com,manager@company.com,Weekly Newsletter,2025-10-24 06:18:00,340,Yes
info@news.com,admin@portal.com,Exclusive Offer Inside,2025-10-03 12:59:00,600,Yes
charlie@company.com,user@yahoo.com,System Maintenance Alert,2025-10-17 17:39:00,204,Yes
student@univ.edu,admin@portal.com,System Maintenance Alert,2025-10-13 16:34:00,593,No
charlie@company.com,manager@company.com,Project Update,2025-10-27 15:08:00,417,Yes
info@news.com,admin@portal.com,Assignment Submission,2025-10-05 06:46:00,843,No
info@news.com,user@yahoo.com,Invoice Attached,2025-10-04 00:42:00,749,No
diana@org.org,user@yahoo.com,Assignment Submission,2025-10-24 13:04:00,900,Yes
alice@gmail.com,staff@org.org,Order Confirmation,2025-10-10 15:04:00,689,No
diana@org.org,staff@org.org,Project Update,2025-10-02 23:56:00,886,No
marketing@brand.com,employee@company.com,Salary Slip,2025-10-17 14:06:00,486,Yes
hr@company.com,staff@org.org,Invoice Attached,2025-10-27 16:16:00,625,Yes
student@univ.edu,admin@portal.com,Exclusive Offer Inside,2025-10-04 06:23:00,338,Yes
charlie@company.com,user@yahoo.com,Exclusive Offer Inside,2025-10-14 20:38:00,271,No
professor@univ.edu,user@yahoo.com,Invoice Attached,2025-10-25 01:57:00,173,Yes
hr@company.com,admin@portal.com,Salary Slip,2025-10-02 02:03:00,329,Yes
diana@org.org,user@yahoo.com,Salary Slip,2025-10-03 05:37:00,559,No
hr@company.com,manager@company.com,Assignment Submission,2025-10-06 15:52:00,751,No
student@univ.edu,student@univ.edu,Password Reset,2025-10-22 05:41:00,411,Yes
professor@univ.edu,employee@company.com,Project Update,2025-10-16 13:25:00,324,No
professor@univ.edu,user@yahoo.com,Salary Slip,2025-10-08 01:52:00,539,No
marketing@brand.com,client@gmail.com,Order Confirmation,2025-10-21 06:44:00,599,No
professor@univ.edu,manager@company.com,Project Update,2025-10-07 17:12:00,879,No
hr@company.com,staff@org.org,Exclusive Offer Inside,2025-10-23 17:09:00,554,Yes
student@univ.edu,staff@org.org,Exclusive Offer Inside,2025-10-18 21:41:00,201,No
info@news.com,client@gmail.com,Exclusive Offer Inside,2025-10-19 16:57:00,587,Yes
alice@gmail.com,employee@company.com,System Maintenance Alert,2025-10-14 16:40:00,251,Yes
hr@company.com,staff@org.org,System Maintenance Alert,2025-10-02 18:17:00,580,Yes
bob@yahoo.com,staff@org.org,Assignment Submission,2025-10-13 07:09:00,972,No
charlie@company.com,staff@org.org,Weekly Newsletter,2025-10-23 21:32:00,626,No
professor@univ.edu,employee@company.com,Salary Slip,2025-10-05 21:18:00,160,Yes
diana@org.org,client@gmail.com,Exclusive Offer Inside,2025-10-01 21:51:00,958,No
student@univ.edu,team@company.com,System Maintenance Alert,2025-10-18 14:15:00,188,Yes
diana@org.org,client@gmail.com,Order Confirmation,2025-10-22 10:26:00,895,Yes
student@univ.edu,student@univ.edu,Project Update,2025-10-21 08:32:00,719,Yes
info@news.com,staff@org.org,System Maintenance Alert,2025-10-29 09:23:00,742,No
marketing@brand.com,team@company.com,Salary Slip,2025-10-23 21:29:00,269,No
professor@univ.edu,staff@org.org,Project Update,2025-10-26 18:46:00,641,No
